match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,team1_win_percentage,team2_win_percentage,team1_recent_form,team2_recent_form,team1_powerplay,team2_powerplay,team1_death_overs,team2_death_overs
1,"March 22,2025","Eden Gardens, Kolkata",KKR,RCB,League,RCB,Bowl,174.0,8.0,177.0,3.0,completed,RCB,Unknown,7,22.0,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29,35.714285714285715,62.5,0.2,0.6,1.4717391304347829,1.4883720930232558,1.681159420289855,1.6824817518248176
2,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,RR,Bowl,286.0,6.0,242.0,6.0,completed,SRH,44,Unknown,0.0,Ishan Kishan,Ishan Kishan,106.0,Tushar Deshpande,3--44,42.85714285714285,28.57142857142857,0.6,0.4,1.3948412698412698,1.6958174904942966,1.7761194029850746,1.5473684210526315
3,"March 23,2025","MA Chidambaram Stadium, Chennai",CSK,MI,League,CSK,Bowl,155.0,9.0,158.0,6.0,completed,CSK,Unknown,4,5.0,Noor Ahmad,Rachin Ravindra,65.0,Noor Ahmad,4--18,28.57142857142857,50.0,0.4,0.6,1.32,1.495,1.4597701149425288,1.8045602605863191
4,"March 24,2025","ACA-VDCA Cricket Stadium, Vishakhapatnam",DC,LSG,League,DC,Bowl,209.0,8.0,211.0,9.0,completed,DC,Unknown,1,3.0,Ashutosh Sharma,Nicholas Pooran,75.0,Mitchell Starc,3--42,57.14285714285714,42.85714285714285,0.4,0.4,1.3409090909090908,1.4206500956022945,1.6548042704626331,1.544378698224852
5,"March 25,2025","Narendra Modi Stadium, Ahmedabad",GT,PBKS,League,GT,Bowl,243.0,5.0,232.0,5.0,completed,PBKS,11,Unknown,0.0,Shreyas Iyer,Shreyas Iyer,97.0,Sai Kishore,3--30,60.0,64.70588235294117,0.4,0.6,1.4270462633451957,1.526148969889065,1.596969696969697,1.8675078864353312
6,"March 26,2025","Barsapara Stadium, Guwahati",RR,KKR,League,KKR,Bowl,151.0,9.0,153.0,2.0,completed,KKR,Unknown,8,15.0,Quinton de Kock,Quinton de Kock,97.0,Varun Chakravarthy,2--17,28.57142857142857,35.714285714285715,0.4,0.2,1.6958174904942966,1.4717391304347829,1.5473684210526315,1.681159420289855
7,"March 27,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,LSG,League,LSG,Bowl,190.0,9.0,193.0,5.0,completed,LSG,Unknown,5,23.0,Shardul Thakur,Nicholas Pooran,70.0,Shardul Thakur,4--34,42.85714285714285,42.85714285714285,0.6,0.4,1.3948412698412698,1.4206500956022945,1.7761194029850746,1.544378698224852
8,"March 28,2025","MA Chidambaram Stadium, Chennai",CSK,RCB,League,CSK,Bowl,196.0,7.0,146.0,8.0,completed,RCB,50,Unknown,0.0,Rajat Patidar,Rajat Patidar,51.0,Josh Hazlewood,3--21,28.57142857142857,62.5,0.4,0.6,1.32,1.4883720930232558,1.4597701149425288,1.6824817518248176
9,"March 29,2025","Narendra Modi Stadium, Ahmedabad",GT,MI,League,MI,Bowl,196.0,8.0,160.0,6.0,completed,GT,36,Unknown,0.0,Prasidh Krishna,Sai Sudarshan,63.0,Prasidh Krishna,2--18,60.0,50.0,0.4,0.6,1.4270462633451957,1.495,1.596969696969697,1.8045602605863191
10,"March 30,2025","ACA-VDCA Cricket Stadium, Vishakhapatnam",DC,SRH,League,SRH,Bat,163.0,10.0,166.0,3.0,completed,DC,Unknown,7,24.0,Mitchell Starc,Aniket Verma,74.0,Mitchell Starc,5--35,57.14285714285714,42.85714285714285,0.4,0.6,1.3409090909090908,1.3948412698412698,1.6548042704626331,1.7761194029850746
11,"March 30,2025","Barsapara Stadium, Guwahati",RR,CSK,League,CSK,Bowl,182.0,9.0,176.0,6.0,completed,RR,6,Unknown,0.0,Nitish Rana,Nitish Rana,81.0,Wanindu Hasranga,4--35,28.57142857142857,28.57142857142857,0.4,0.4,1.6958174904942966,1.32,1.5473684210526315,1.4597701149425288
12,"March 31,2025","Wankhede Stadium, Mumbai",MI,KKR,League,MI,Bowl,116.0,10.0,121.0,2.0,completed,MI,Unknown,8,43.0,Ashwani Kumar,Ryan Rickelton,62.0,Ashwani Kumar,4--24,50.0,35.714285714285715,0.6,0.2,1.495,1.4717391304347829,1.8045602605863191,1.681159420289855
13,"April 01,2025","Ekana Cricket Stadium, Lucknow",LSG,PBKS,League,PBKS,Bowl,171.0,7.0,177.0,2.0,completed,PBKS,Unknown,8,22.0,Prabhsimran Singh,Prabhsimran Singh,69.0,Arshdeep Singh,3--43,42.85714285714285,64.70588235294117,0.4,0.6,1.4206500956022945,1.526148969889065,1.544378698224852,1.8675078864353312
14,"April 02,2025","M. Chinnaswamy Stadium, Bangalore",RCB,GT,League,GT,Bowl,169.0,8.0,170.0,2.0,completed,GT,Unknown,8,13.0,Mohammed Siraj,Jos Buttler,73.0,Mohammed Siraj,3--19,62.5,60.0,0.6,0.4,1.4883720930232558,1.4270462633451957,1.6824817518248176,1.596969696969697
15,"April 03,2025","Eden Gardens, Kolkata",KKR,SRH,League,SRH,Bowl,200.0,6.0,120.0,10.0,completed,KKR,80,Unknown,20.0,Vaibhav Arora,Venkatesh Iyer,60.0,Varun Chakravarthy,3--22,35.714285714285715,42.85714285714285,0.2,0.6,1.4717391304347829,1.3948412698412698,1.681159420289855,1.7761194029850746
16,"April 04,2025","Ekana Cricket Stadium, Lucknow",LSG,MI,League,MI,Bowl,203.0,8.0,191.0,5.0,completed,LSG,12,Unknown,0.0,Digvesh Singh,Suryakumar Yadav,67.0,Hardik Pandya,5--36,42.85714285714285,50.0,0.4,0.6,1.4206500956022945,1.495,1.544378698224852,1.8045602605863191
17,"April 05,2025","MA Chidambaram Stadium, Chennai",CSK,DC,League,DC,Bat,183.0,6.0,158.0,5.0,completed,DC,25,Unknown,0.0,KL Rahul,KL Rahul,77.0,Khaleel Ahmed,2--25,28.57142857142857,57.14285714285714,0.4,0.4,1.32,1.3409090909090908,1.4597701149425288,1.6548042704626331
18,"April 05,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RR,League,PBKS,Bowl,205.0,4.0,155.0,9.0,completed,RR,50,Unknown,0.0,Jofra Archer,Yashasvi Jaiswal,67.0,Jofra Archer,3--25,64.70588235294117,28.57142857142857,0.6,0.4,1.526148969889065,1.6958174904942966,1.8675078864353312,1.5473684210526315
