venue,match_winner,wins
"ACA-VDCA Cricket Stadium, Vishakhapatnam",DC,2
"Arun Jaitley Stadium, Delhi",DC,2
"Arun Jaitley Stadium, Delhi",GT,1
"Arun Jaitley Stadium, Delhi",KKR,1
"Arun Jaitley Stadium, Delhi",RCB,1
"Arun Jaitley Stadium, Delhi",RR,1
"Arun Jaitley Stadium, Delhi",SRH,1
"Barsapara Stadium, Guwahati",KKR,1
"Barsapara Stadium, Guwahati",RR,1
"Eden Gardens, Kolkata",CSK,1
"Eden Gardens, Kolkata",GT,1
"Eden Gardens, Kolkata",KKR,2
"Eden Gardens, Kolkata",LSG,1
"Eden Gardens, Kolkata",RCB,1
"Eden Gardens, Kolkata",Unknown,1
"Ekana Cricket Stadium, Lucknow",CSK,1
"Ekana Cricket Stadium, Lucknow",DC,1
"Ekana Cricket Stadium, Lucknow",LSG,2
"Ekana Cricket Stadium, Lucknow",PBKS,1
"Ekana Cricket Stadium, Lucknow",RCB,1
"Ekana Cricket Stadium, Lucknow",SRH,2
"HPCA Stadium, Dharamshala",PBKS,1
"M. Chinnaswamy Stadium, Bangalore",DC,1
"M. Chinnaswamy Stadium, Bangalore",GT,1
"M. Chinnaswamy Stadium, Bangalore",PBKS,1
"M. Chinnaswamy Stadium, Bangalore",RCB,2
"M. Chinnaswamy Stadium, Bangalore",Unknown,1
"MA Chidambaram Stadium, Chennai",CSK,1
"MA Chidambaram Stadium, Chennai",DC,1
"MA Chidambaram Stadium, Chennai",KKR,1
"MA Chidambaram Stadium, Chennai",PBKS,1
"MA Chidambaram Stadium, Chennai",RCB,1
"MA Chidambaram Stadium, Chennai",SRH,1
"Narendra Modi Stadium, Ahmedabad",CSK,1
"Narendra Modi Stadium, Ahmedabad",GT,4
"Narendra Modi Stadium, Ahmedabad",LSG,1
"Narendra Modi Stadium, Ahmedabad",PBKS,2
"Narendra Modi Stadium, Ahmedabad",RCB,1
"New PCA Cricket Stadium, Mullanpur",MI,1
"New PCA Cricket Stadium, Mullanpur",PBKS,3
"New PCA Cricket Stadium, Mullanpur",RCB,1
"New PCA Cricket Stadium, Mullanpur",RR,1
"Rajiv Gandhi International Stadium, Hyderabad",GT,1
"Rajiv Gandhi International Stadium, Hyderabad",LSG,1
"Rajiv Gandhi International Stadium, Hyderabad",MI,1
"Rajiv Gandhi International Stadium, Hyderabad",SRH,2
"Rajiv Gandhi International Stadium, Hyderabad",Unknown,1
"Sawai Mansingh Stadium, Jaipur",DC,1
"Sawai Mansingh Stadium, Jaipur",LSG,1
"Sawai Mansingh Stadium, Jaipur",MI,1
"Sawai Mansingh Stadium, Jaipur",PBKS,2
"Sawai Mansingh Stadium, Jaipur",RCB,1
"Sawai Mansingh Stadium, Jaipur",RR,1
"Wankhede Stadium, Mumbai",GT,1
"Wankhede Stadium, Mumbai",MI,5
"Wankhede Stadium, Mumbai",RCB,1
